State,Area Name,2010 population estimate,2019 population estimate,Births in 2019,Deaths in 2019,International migration 2019,Domestic migration 2019,Net migration 2019,Rate of birth 2019,Rate of death 2019,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Estimate of people of all ages in poverty 2019,Estimated percent of people of all ages in poverty 2019,Estimate of people age 0-17 in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimate of related children age 5-17 in families in poverty 2019,Estimate of median household income 2019,Total male,Total female,Two or more races male,Two or more races female,White male,White female,Black male,Black female,American Indian or Alaska Native male,American Indian or Alaska Native female,Asian male,Asian female,Pacific Islander male,Pacific Islander female,Hispanic male,Hispanic female
NY,Seneca County,"35,248","34,016",318,313,8,-175,-167,9.3,9.2,"4,727","8,053","5,857","3,948",20.9,35.7,25.9,17.5,"3,758","8,702","7,043","5,207",15.2,35.2,28.5,21.1,"4,302",13.7,"1,265",19.4,941,"51,064",17857,16159,315,312,16035,15645,1745,453,197,155,180,210,20,10,842,415
NY,Steuben County,"98,982","95,379",981,"1,022",49,-489,-440,10.3,10.7,"11,328","24,527","18,135","11,775",17.2,37.3,27.6,17.9,"6,475","25,012","20,500","16,099",9.5,36.7,30.1,23.6,"14,089",15.0,"4,286",21.8,"2,663","53,167",47526,47853,773,736,45507,46276,1413,1004,398,377,958,905,43,43,862,764
NY,Suffolk County,"1,493,116","1,476,601","15,129","13,146","1,603","-7,842","-6,239",10.2,8.9,"130,174","294,953","258,410","258,864",13.8,31.3,27.4,27.5,"97,090","281,922","277,165","374,665",9.4,27.3,26.9,36.3,"97,920",6.8,"27,871",9.3,"17,797","105,241",726935,749666,14780,14965,625924,643121,71551,76469,8668,8414,35719,36929,1300,1190,153446,144983
NY,Sullivan County,"77,501","75,432",779,779,-2,40,38,10.3,10.3,"11,953","17,024","12,884","8,367",23.8,33.9,25.7,16.7,"7,038","17,945","14,951","13,152",13.3,33.8,28.2,24.8,"11,745",16.1,"4,025",26.2,"2,840","58,851",38705,36727,1156,1076,33231,32322,5039,3926,627,519,942,1009,89,86,6745,5911
NY,Tioga County,"51,049","48,203",425,492,-9,-161,-170,8.8,10.2,"5,214","12,789","9,487","6,733",15.2,37.4,27.7,19.7,"3,064","12,472","10,138","9,022",8.8,35.9,29.2,26.0,"4,485",9.4,"1,342",13.8,935,"60,699",23939,24264,366,319,23337,23760,466,355,198,160,270,290,42,25,543,462
NY,Tompkins County,"101,592","102,180",742,636,447,-797,-350,7.3,6.2,"4,584","11,816","11,488","25,187",8.6,22.3,21.6,47.5,"3,326","11,347","13,111","31,990",5.6,19.0,21.9,53.5,"15,079",16.9,"2,056",14.3,"1,352","59,176",50162,52018,1741,1804,41999,44170,3046,3039,565,608,6274,6000,118,121,2697,2822
NY,Ulster County,"182,519","177,573","1,433","1,743",148,-677,-529,8.1,9.8,"22,112","36,156","32,265","30,137",18.3,30.0,26.7,25.0,"12,059","38,710","37,174","42,247",9.3,29.7,28.6,32.5,"20,451",12.0,"4,837",16.1,"3,157","64,090",88057,89516,2441,2548,78242,81369,8887,6974,1036,1042,2354,2677,167,172,9944,8894
NY,Warren County,"65,692","63,944",529,674,23,-146,-123,8.3,10.5,"6,672","14,558","12,053","10,081",15.4,33.6,27.8,23.2,"3,854","14,653","14,333","14,993",8.1,30.6,30.0,31.3,"6,399",10.1,"1,690",15.0,"1,160","63,240",31409,32535,595,540,30414,31666,843,639,324,276,407,479,40,38,923,880
NY,Washington County,"63,254","61,204",545,681,7,63,70,8.9,11.1,"8,526","16,485","10,094","5,852",20.8,40.2,24.6,14.3,"5,440","17,429","12,888","9,235",12.1,38.7,28.6,20.5,"6,917",11.9,"1,900",17.2,"1,296","56,897",31633,29571,429,408,29378,29011,2133,413,285,235,248,296,37,35,1233,568
NY,Wayne County,"93,751","89,918",941,873,21,-370,-349,10.4,9.7,"10,954","22,316","17,948","10,513",17.7,36.2,29.1,17.0,"6,934","21,531","20,982","14,467",10.8,33.7,32.8,22.6,"10,093",11.4,"2,948",15.8,"1,988","61,989",44693,45225,1019,1010,42514,43393,2249,1878,419,406,493,532,60,51,2324,1896
NY,Westchester County,"949,218","967,506","10,183","7,582","2,060","-5,390","-3,330",10.5,7.8,"103,456","138,814","129,747","256,924",16.4,22.1,20.6,40.9,"79,762","128,492","133,103","326,933",11.9,19.2,19.9,48.9,"79,545",8.4,"20,791",10.1,"13,614","101,741",468854,498652,12117,12585,357588,372002,82495,94103,8077,7366,33050,38095,1164,1172,124076,123094
NY,Wyoming County,"42,154","39,859",328,345,1,-147,-146,8.2,8.6,"7,206","11,498","7,428","3,390",24.4,38.9,25.2,11.5,"2,938","11,614","9,350","5,131",10.1,40.0,32.2,17.7,"3,598",9.9,919,12.6,647,"58,214",21610,18249,249,215,19227,17963,2259,187,211,150,153,152,17,20,985,336
NY,Yates County,"25,364","24,913",316,267,10,-98,-88,12.7,10.7,"3,135","5,692","4,032","2,855",20.0,36.2,25.7,18.2,"2,272","5,443","4,757","4,201",13.6,32.6,28.5,25.2,"3,271",13.9,"1,394",26.2,942,"60,612",12132,12781,154,138,11880,12492,230,178,81,80,85,164,11,8,313,255
NC,North Carolina,"9,535,751","10,488,084","119,203","94,312","14,184","67,338","81,522",11.4,9.0,"1,154,724","1,502,978","1,438,579","1,186,713",21.9,28.4,27.2,22.5,"853,396","1,791,532","2,156,078","2,182,853",12.2,25.7,30.9,31.3,"1,383,760",13.6,"435,728",19.3,"300,469","57,388",,,,,,,,,,,,,,,,
NC,Alamance County,"151,155","169,509","1,976","1,646",67,"2,588","2,655",11.8,9.8,"20,316","27,020","22,670","16,629",23.5,31.2,26.2,19.2,"15,046","30,386","37,150","27,290",13.7,27.7,33.8,24.8,"23,890",14.6,"8,007",21.8,"5,770","57,963",80533,88976,1867,2009,61424,66723,17444,20499,1754,1856,1818,1976,161,176,11240,10890
NC,Alexander County,"37,182","37,497",363,399,0,203,203,9.7,10.7,"7,123","8,075","5,418","2,113",31.3,35.5,23.8,9.3,"4,724","10,371","7,920","3,812",17.6,38.7,29.5,14.2,"4,193",11.7,"1,221",16.7,784,"54,960",19109,18388,322,310,17349,17276,1638,992,196,180,237,233,17,23,943,845
NC,Alleghany County,"11,152","11,137",99,133,5,29,34,8.9,11.9,"2,503","2,488","1,924",914,32.0,31.8,24.6,11.7,"1,896","2,438","2,627","1,460",22.5,29.0,31.2,17.3,"1,862",16.9,485,26.3,333,"41,420",5519,5618,78,79,5323,5443,137,132,81,63,53,54,5,5,638,459
NC,Anson County,"26,929","24,446",253,272,29,-33,-4,10.3,11.1,"5,020","6,462","3,795","1,547",29.8,38.4,22.6,9.2,"3,470","7,243","5,268","2,032",19.3,40.2,29.2,11.3,"4,861",21.4,"1,479",31.1,"1,082","40,826",12532,11914,207,202,6173,5787,6113,5981,213,155,231,188,18,12,656,350
NC,Ashe County,"27,240","27,203",216,350,-13,251,238,8.0,12.9,"5,564","5,910","4,107","2,141",31.4,33.3,23.2,12.1,"3,028","6,470","6,856","4,002",14.9,31.8,33.7,19.7,"3,946",14.6,"1,050",22.6,715,"41,542",13331,13872,164,158,13021,13622,230,186,141,128,89,87,17,9,829,561
NC,Avery County,"17,807","17,557",130,215,10,106,116,7.4,12.3,"3,546","3,838","2,925","1,749",29.4,31.8,24.3,14.5,"2,191","4,024","4,354","2,755",16.4,30.2,32.7,20.7,"2,481",16.4,592,24.4,402,"45,823",9513,8044,90,103,8691,7801,729,173,107,88,66,76,12,11,516,371
NC,Beaufort County,"47,784","46,994",439,628,3,128,131,9.3,13.4,"7,705","10,429","7,791","4,943",25.0,33.8,25.2,16.0,"4,201","11,115","11,823","7,031",12.3,32.5,34.6,20.6,"8,164",17.6,"2,704",29.5,"1,882","49,410",22322,24672,359,389,16661,17831,5478,6662,349,358,162,182,40,39,1850,1919
NC,Bertie County,"21,275","18,947",167,268,31,-89,-58,8.8,14.1,"4,756","4,819","2,401","1,159",36.2,36.7,18.3,8.8,"3,113","5,487","3,832","1,964",21.6,38.1,26.6,13.6,"4,256",24.2,"1,047",32.4,735,"37,899",9614,9333,112,109,3542,3468,5960,5768,130,100,75,98,19,10,289,157
NC,Bladen County,"35,170","32,722",337,468,21,-316,-295,10.2,14.2,"6,298","7,238","5,460","2,413",29.4,33.8,25.5,11.3,"4,474","8,001","7,705","3,791",18.7,33.4,32.1,15.8,"6,876",21.2,"1,954",29.9,"1,386","42,260",15533,17189,265,292,9952,10401,5167,6290,571,682,89,100,25,22,1344,1194
NC,Brunswick County,"107,429","142,820","1,027","1,738",-36,"6,629","6,593",7.3,12.4,"11,435","17,482","15,238","8,450",21.7,33.2,29.0,16.1,"9,082","29,021","34,830","31,048",8.7,27.9,33.5,29.9,"14,423",10.2,"4,314",21.0,"3,100","63,712",68165,74655,1226,1286,60076,65735,7471,8160,1085,1144,660,842,147,112,3619,3423
NC,Buncombe County,"238,330","261,191","2,413","2,700",108,"2,102","2,210",9.3,10.4,"25,994","40,630","40,738","36,287",18.1,28.3,28.4,25.3,"16,862","43,838","52,263","75,737",8.9,23.2,27.7,40.1,"31,045",12.2,"8,016",17.3,"5,907","55,448",125220,135971,2736,3021,114398,124526,9455,9967,1643,1809,2289,2570,312,294,9133,8737
NC,Burke County,"90,837","90,485",883,"1,034",66,171,237,9.8,11.4,"19,408","18,240","14,621","7,653",32.4,30.4,24.4,12.8,"11,978","20,488","22,033","10,721",18.4,31.4,33.8,16.4,"16,123",18.4,"4,860",30.5,"3,502","47,890",45277,45208,853,777,39068,40318,4170,2983,722,639,1846,1756,357,316,3159,2696
NC,Cabarrus County,"178,121","216,453","2,600","1,688",185,"3,756","3,941",12.1,7.9,"18,891","26,101","25,166","16,574",21.8,30.1,29.0,19.1,"13,791","34,462","44,434","44,201",10.1,25.2,32.5,32.3,"16,932",7.9,"5,689",10.6,"3,831","72,071",105581,110872,2488,2693,79366,82043,21635,24310,1342,1521,5698,5653,201,210,12088,11946
NC,Caldwell County,"83,058","82,178",774,969,57,294,351,9.4,11.8,"18,085","17,195","12,697","5,562",33.8,32.1,23.7,10.4,"11,827","19,175","18,714","9,294",20.0,32.5,31.7,15.7,"9,728",12.0,"2,842",17.8,"1,979","48,512",40644,41534,768,743,37884,38730,2573,2614,522,486,390,413,66,51,2601,2253
NC,Camden County,"9,980","10,867",96,63,11,148,159,8.9,5.8,856,"1,621","1,520",773,17.9,34.0,31.9,16.2,"1,004","2,188","2,977","1,274",13.5,29.4,40.0,17.1,819,7.6,228,9.4,154,"69,610",5426,5441,171,160,4647,4630,714,730,76,85,155,149,11,8,182,145
NC,Carteret County,"66,463","69,473",531,894,22,378,400,7.6,12.9,"7,795","12,884","14,155","8,623",17.9,29.6,32.6,19.8,"4,383","13,388","19,260","15,182",8.4,25.6,36.9,29.1,"7,102",10.4,"1,987",17.0,"1,410","60,058",34024,35449,790,699,31282,32708,2417,2233,466,474,594,672,92,84,1647,1420
NC,Caswell County,"23,731","22,604",210,245,13,-5,8,9.3,10.8,"4,998","5,953","3,918","1,343",30.8,36.7,24.2,8.3,"3,269","5,619","5,163","2,664",19.6,33.6,30.9,15.9,"3,438",16.2,"1,038",25.1,718,"51,240",11487,11117,210,201,7553,7391,3874,3678,159,152,109,92,13,13,600,435
NC,Catawba County,"154,717","159,551","1,671","1,713",233,679,912,10.5,10.8,"23,869","29,677","25,075","16,126",25.2,31.3,26.5,17.0,"15,391","32,708","36,293","24,663",14.1,30.0,33.3,22.6,"20,898",13.3,"6,363",18.6,"4,507","53,688",77988,81563,1562,1603,66882,69892,8050,8331,824,806,3697,4042,137,133,8420,7755
NC,Chatham County,"63,485","74,470",667,770,-8,"1,448","1,440",9.0,10.4,"7,705","9,337","8,247","9,631",22.1,26.7,23.6,27.6,"5,795","11,048","13,247","22,117",11.1,21.2,25.4,42.4,"6,400",8.7,"1,811",12.4,"1,161","70,258",35617,38853,664,717,29946,32472,4719,5306,662,649,901,1089,68,82,4646,4380
NC,Cherokee County,"27,447","28,612",250,380,-14,386,372,8.8,13.3,"4,732","6,161","4,866","1,950",26.7,34.8,27.5,11.0,"2,754","7,284","7,386","4,095",12.8,33.8,34.3,19.0,"4,997",17.7,"1,360",29.3,894,"42,764",13944,14668,369,347,13378,14072,332,336,464,459,124,138,18,17,461,476
NC,Chowan County,"14,793","13,943",136,191,0,-66,-66,9.7,13.6,"2,576","3,219","2,212","1,576",26.9,33.6,23.1,16.4,"1,402","3,536","3,360","2,296",13.2,33.4,31.7,21.7,"2,528",18.5,777,28.5,556,"47,126",6632,7311,112,100,4324,4586,2240,2674,74,60,80,76,26,16,291,231
NC,Clay County,"10,590","11,231",87,163,-8,189,181,7.8,14.6,"1,549","2,221","1,795","1,013",23.5,33.8,27.3,15.4,992,"2,798","2,602","1,984",11.8,33.4,31.1,23.7,"1,554",14.0,467,25.5,313,"47,116",5459,5772,94,83,5306,5627,114,105,94,74,33,44,8,5,215,219
NC,Cleveland County,"98,032","97,947","1,102","1,219",44,504,548,11.3,12.5,"17,625","21,632","15,736","8,403",27.8,34.1,24.8,13.3,"10,545","22,995","21,561","11,745",15.8,34.4,32.3,17.6,"18,230",19.0,"6,395",30.5,"4,486","46,012",47093,50854,885,943,36944,38989,9979,11677,417,422,617,678,52,57,1900,1790
NC,Columbus County,"58,124","55,508",558,761,18,-124,-106,10.0,13.7,"11,274","12,093","8,930","3,624",31.4,33.7,24.9,10.1,"6,705","14,323","12,934","5,442",17.0,36.3,32.8,13.8,"11,654",22.3,"3,656",32.5,"2,553","39,531",27548,27960,540,516,17656,18252,8884,8654,1314,1304,209,238,47,44,1677,1417
NC,Craven County,"103,498","102,139","1,340","1,035",20,-514,-494,13.1,10.1,"10,231","17,088","18,721","10,987",17.9,30.0,32.8,19.3,"7,569","17,554","25,298","17,032",11.2,26.0,37.5,25.3,"13,385",13.8,"4,269",20.0,"2,818","53,372",51569,50570,1557,1527,38832,37211,11502,12082,767,707,1946,2011,193,192,4276,3494
NC,Cumberland County,"319,431","335,509","5,376","2,644",330,-978,-648,16.1,7.9,"26,526","50,122","66,297","33,769",15.0,28.4,37.5,19.1,"18,606","53,420","81,380","52,502",9.0,25.9,39.5,25.5,"57,342",18.0,"20,855",25.7,"13,798","46,599",166439,169070,7847,8261,95788,89040,66753,74806,5315,5851,6245,7575,1296,1290,20944,19628
NC,Currituck County,"23,547","27,763",268,243,-13,733,720,9.8,8.9,"2,775","4,256","3,689","1,641",22.4,34.4,29.8,13.3,"1,784","5,410","7,190","4,411",9.5,28.8,38.3,23.5,"2,419",8.8,820,13.7,577,"70,699",13837,13926,299,288,12778,12878,973,922,205,179,169,210,21,28,601,611
NC,Dare County,"33,920","37,009",332,360,40,390,430,9.0,9.8,"2,480","5,994","7,231","6,008",11.4,27.6,33.3,27.7,"1,556","6,147","9,886","9,359",5.8,22.8,36.7,34.7,"3,284",8.9,936,13.8,673,"63,033",18153,18856,361,344,17341,18031,751,630,232,258,176,267,26,21,1487,1374
NC,Davidson County,"162,822","167,609","1,764","1,815",-18,"1,322","1,304",10.6,10.9,"27,992","33,244","26,118","12,774",28.0,33.2,26.1,12.8,"18,692","38,135","37,903","21,469",16.1,32.8,32.6,18.5,"25,099",15.2,"8,045",22.6,"6,139","53,924",81991,85618,1505,1521,71896,74416,8830,9688,1180,1181,1525,1806,122,107,6458,5992
NC,Davie County,"41,221","42,846",385,406,3,303,306,9.0,9.5,"5,223","8,279","6,141","4,197",21.9,34.7,25.8,17.6,"3,694","9,665","9,615","7,259",12.2,32.0,31.8,24.0,"4,632",10.9,"1,332",15.1,924,"63,828",20922,21924,409,441,19262,20078,1569,1747,266,258,217,265,20,22,1610,1497
NC,Duplin County,"58,417","58,741",664,593,121,-442,-321,11.3,10.1,"10,831","10,032","7,520","3,317",34.2,31.6,23.7,10.5,"9,591","12,706","12,783","4,828",24.0,31.8,32.0,12.1,"10,288",17.7,"3,956",28.9,"2,648","44,929",28691,30050,454,479,21027,21164,7116,8379,592,590,288,270,142,140,7248,6269
NC,Durham County,"270,001","321,488","4,186","2,235","1,376","1,176","2,552",13.1,7.0,"24,507","27,605","33,964","57,728",17.0,19.2,23.6,40.1,"24,947","37,969","48,045","103,332",11.6,17.7,22.4,48.2,"43,009",14.0,"13,260",20.6,"8,844","65,541",153424,168064,4066,4288,88141,92271,56645,66984,2894,2937,9890,10300,318,329,22957,20971
NC,Edgecombe County,"56,539","51,472",589,634,16,-484,-468,11.4,12.3,"12,280","13,207","7,224","3,037",34.4,36.9,20.2,8.5,"6,859","13,614","10,933","4,928",18.9,37.5,30.1,13.6,"10,625",21.0,"3,761",33.3,"2,793","40,784",23757,27715,337,315,10075,10904,13526,16645,341,305,131,133,40,61,1345,1208
NC,Forsyth County,"350,638","382,295","4,356","3,339",333,"1,734","2,067",11.4,8.8,"36,748","55,000","53,809","58,524",18.0,27.0,26.4,28.7,"27,106","64,685","74,308","85,565",10.8,25.7,29.5,34.0,"56,484",15.2,"19,254",22.5,"15,557","53,054",180833,201462,4245,4585,126066,136323,50627,60291,2972,3231,5456,6358,404,397,25445,25383
NC,Franklin County,"60,563","69,685",725,642,103,"1,867","1,970",10.6,9.4,"8,301","10,853","8,156","4,157",26.4,34.5,25.9,13.2,"6,372","13,734","15,856","10,128",13.8,29.8,34.4,22.0,"7,908",11.6,"2,521",17.0,"1,759","57,371",34516,35169,756,766,25195,24957,9082,9923,575,609,360,424,97,59,3464,2789
NC,Gaston County,"206,098","224,529","2,580","2,422",59,"1,679","1,738",11.5,10.8,"36,522","37,796","35,336","18,094",28.6,29.6,27.7,14.2,"22,997","46,499","49,887","32,173",15.2,30.7,32.9,21.2,"25,710",11.6,"8,082",16.5,"5,457","56,542",108372,116157,2381,2485,86998,91784,20207,23061,1393,1403,2123,2413,159,137,8614,8400
NC,Gates County,"12,185","11,562",96,142,6,40,46,8.3,12.3,"2,030","2,506","1,816",743,28.6,35.3,25.6,10.5,915,"3,171","3,077","1,196",10.9,37.9,36.8,14.3,"1,680",14.7,481,21.1,334,"54,204",5725,5837,157,123,3885,3902,1847,1932,88,84,53,41,17,8,149,127
NC,Graham County,"8,858","8,441",72,99,1,7,8,8.5,11.7,"1,777","2,026","1,188",631,31.6,36.0,21.1,11.2,"1,103","2,204","1,986",786,18.1,36.3,32.7,12.9,"1,391",16.8,376,23.2,268,"45,813",4220,4221,107,81,3840,3819,59,47,388,401,33,30,8,5,184,132
NC,Granville County,"57,538","60,443",601,599,-11,473,462,10.0,9.9,"8,807","11,143","8,443","4,248",27.0,34.1,25.9,13.0,"6,566","12,836","13,057","9,431",15.7,30.6,31.2,22.5,"8,313",14.6,"2,716",22.5,"2,002","54,300",30692,29751,584,546,20216,19755,10225,9777,503,422,302,331,60,49,2715,2432
NC,Greene County,"21,353","21,069",206,223,16,-35,-19,9.8,10.6,"4,284","4,291","2,796","1,009",34.6,34.7,22.6,8.2,"3,744","4,932","4,653","1,654",25.0,32.9,31.1,11.0,"3,715",20.2,"1,250",30.4,870,"44,648",11540,9529,138,151,6800,5833,4449,3462,330,261,74,91,30,35,1916,1392
NC,Guilford County,"488,454","537,174","6,111","4,602","1,132","1,947","3,079",11.4,8.6,"46,912","69,256","75,882","83,444",17.0,25.1,27.5,30.3,"38,516","81,878","104,820","126,827",10.9,23.3,29.8,36.0,"83,004",16.0,"27,024",23.1,"18,913","55,820",254212,282962,6287,7141,150111,161550,91116,108274,3992,4564,15530,16171,506,574,22710,22481
NC,Halifax County,"54,624","50,010",540,706,9,-468,-459,10.7,14.0,"13,060","12,490","7,984","4,185",34.6,33.1,21.2,11.1,"7,730","13,453","9,742","5,222",21.4,37.2,27.0,14.4,"11,533",23.8,"3,914",37.5,"2,688","38,727",24099,25911,335,334,10032,10462,12969,14364,1153,1124,263,287,33,35,831,727
NC,Harnett County,"114,691","135,976","1,873","1,105",29,836,865,13.9,8.2,"14,271","18,653","16,916","7,298",25.0,32.6,29.6,12.8,"10,720","25,577","30,560","18,702",12.5,29.9,35.7,21.9,"20,597",15.6,"7,075",20.6,"4,906","55,619",67259,68717,2356,2424,50242,50849,16068,16710,1920,1965,1330,1647,266,277,9337,8841
NC,Haywood County,"59,032","62,317",587,766,-23,630,607,9.5,12.3,"8,839","12,659","11,734","6,320",22.3,32.0,29.7,16.0,"5,495","12,075","16,329","11,903",12.0,26.4,35.7,26.0,"6,536",10.6,"1,856",16.7,"1,285","51,612",30101,32216,430,445,29210,31358,623,542,458,443,230,296,18,33,1382,1290
NC,Henderson County,"106,719","117,417","1,066","1,426",-20,"1,296","1,276",9.1,12.2,"10,955","18,972","19,416","15,696",16.8,29.2,29.9,24.1,"8,618","20,649","29,047","27,185",10.1,24.2,34.0,31.8,"12,349",10.6,"3,906",18.1,"2,528","61,651",56399,61018,1040,1142,53081,57592,2490,2612,883,812,841,1071,175,154,6381,5756
NC,Hertford County,"24,677","23,677",224,287,36,-174,-138,9.4,12.1,"5,154","4,631","3,525","1,666",34.4,30.9,23.5,11.1,"3,199","5,446","5,526","2,484",19.2,32.7,33.2,14.9,"4,829",23.0,"1,219",28.3,792,"42,374",11781,11896,152,181,4531,4146,7031,7584,208,253,148,103,20,14,645,337
NC,Hoke County,"46,889","55,234",847,362,4,50,54,15.4,6.6,"5,291","6,453","6,012","2,178",26.5,32.4,30.2,10.9,"4,480","9,955","14,086","6,150",12.9,28.7,40.6,17.7,"9,149",16.9,"3,250",22.2,"2,283","48,420",27240,27994,1144,1358,14661,14491,10265,10832,2786,3223,614,826,166,192,3933,3762
NC,Hyde County,"5,817","4,937",33,49,-1,-72,-73,6.6,9.8,"1,326","1,521",900,443,31.6,36.3,21.5,10.6,732,"1,476","1,254",350,19.2,38.7,32.9,9.2,853,19.2,231,28.1,166,"43,112",2638,2299,43,39,1830,1707,790,567,47,27,12,34,2,3,281,204
NC,Iredell County,"159,464","181,806","1,872","1,685",165,"3,116","3,281",10.4,9.4,"17,748","26,309","23,683","14,296",21.6,32.1,28.9,17.4,"12,967","34,094","39,318","34,306",10.7,28.3,32.6,28.4,"14,812",8.2,"4,666",11.5,"3,230","68,308",89488,92318,1831,1899,75740,77230,11715,12964,1019,1064,2826,2979,113,106,7441,7162
NC,Jackson County,"40,270","43,938",362,371,81,267,348,8.3,8.5,"4,429","5,361","5,765","5,326",21.2,25.7,27.6,25.5,"2,916","7,359","8,815","8,326",10.6,26.8,32.2,30.4,"7,661",19.3,"1,755",24.8,"1,275","47,759",21617,22321,498,482,18819,19535,733,638,2219,2334,337,300,19,24,1536,1210
NC,Johnston County,"168,878","209,339","2,371","1,618",121,"5,752","5,873",11.5,7.9,"19,323","25,557","22,637","12,751",24.1,31.8,28.2,15.9,"17,163","36,367","47,399","29,900",13.1,27.8,36.2,22.9,"25,901",12.5,"9,409",18.1,"6,636","62,835",102577,106762,2357,2199,83405,85678,18321,19959,1828,1750,1388,1591,192,199,15234,14241
NC,Jones County,"10,167","9,419",91,118,-2,-166,-168,9.6,12.4,"1,948","2,544","1,841",665,27.8,36.4,26.3,9.5,"1,366","2,490","2,502",882,18.9,34.4,34.6,12.2,"1,747",18.8,531,31.8,328,"46,275",4574,4845,82,100,3215,3272,1321,1543,97,77,24,48,1,9,282,202
NC,Lee County,"57,849","61,779",774,563,56,304,360,12.6,9.2,"7,584","9,588","9,354","5,517",23.7,29.9,29.2,17.2,"6,733","10,933","14,311","8,755",16.5,26.8,35.1,21.5,"8,634",14.2,"3,027",21.1,"2,075","53,114",30141,31638,716,779,23309,24170,6312,6972,665,644,539,624,85,88,6167,5938
NC,Lenoir County,"59,507","55,949",608,768,42,80,122,10.9,13.7,"11,175","12,475","10,879","5,304",28.1,31.3,27.3,13.3,"8,049","12,649","13,004","5,912",20.3,31.9,32.8,14.9,"12,750",23.1,"4,520",37.1,"3,021","39,947",26737,29212,442,430,15665,16089,10863,12882,325,327,277,324,79,69,2483,1939
NC,Lincoln County,"78,014","86,111",834,891,40,"2,031","2,071",9.8,10.5,"12,234","13,772","11,647","5,606",28.3,31.8,26.9,13.0,"7,166","18,360","19,927","13,584",12.1,31.1,33.8,23.0,"7,682",9.0,"2,310",13.0,"1,588","70,479",42751,43360,668,705,39675,40222,2843,2897,453,431,434,497,34,49,3341,3139
NC,McDowell County,"45,002","45,756",437,513,39,329,368,9.6,11.2,"8,701","10,505","7,337","2,614",29.8,36.0,25.2,9.0,"5,289","10,644","11,193","5,731",16.1,32.4,34.1,17.4,"6,048",13.6,"1,763",19.8,"1,130","46,370",22798,22958,336,357,21212,21687,1290,1011,331,333,291,281,21,16,1600,1320
NC,Macon County,"33,925","35,858",333,417,44,622,666,9.4,11.7,"4,974","7,048","6,343","3,543",22.7,32.2,29.0,16.2,"2,820","8,136","9,033","6,246",10.7,31.0,34.4,23.8,"5,093",14.3,"1,479",22.9,"1,017","46,279",17398,18460,206,230,16665,17832,461,361,251,274,215,225,15,12,1337,1304
NC,Madison County,"20,782","21,755",198,240,19,112,131,9.1,11.1,"4,114","4,267","2,868","2,160",30.7,31.8,21.4,16.1,"1,995","4,793","4,166","4,371",13.0,31.3,27.2,28.5,"3,020",14.6,736,19.7,541,"50,062",10722,11033,141,163,10401,10760,273,166,136,160,47,106,9,12,302,230
NC,Martin County,"24,515","22,440",246,313,-1,-152,-153,10.9,13.9,"4,983","5,887","4,167","1,977",29.3,34.6,24.5,11.6,"2,745","5,590","5,455","2,705",16.6,33.9,33.1,16.4,"4,589",20.6,"1,485",33.5,"1,058","39,413",10544,11896,145,149,6121,6536,4358,5290,116,119,78,76,20,28,512,404
NC,Mecklenburg County,"919,664","1,110,356","14,736","6,883","4,335","4,382","8,717",13.4,6.2,"62,693","90,543","132,970","168,957",13.8,19.9,29.2,37.1,"70,077","122,512","201,185","327,148",9.7,17.0,27.9,45.4,"112,863",10.3,"35,103",13.8,"23,605","69,455",533670,576686,13004,14472,324625,335053,174935,209174,8313,9044,39273,38667,1011,1140,76958,75967
NC,Mitchell County,"15,581","14,964",139,221,19,31,50,9.3,14.8,"3,554","3,720","2,660","1,381",31.4,32.9,23.5,12.2,"1,642","3,668","3,518","2,274",14.8,33.0,31.7,20.5,"2,180",14.8,596,22.1,420,"47,675",7392,7572,96,115,7191,7366,105,103,138,110,45,89,12,19,515,408
NC,Montgomery County,"27,782","27,173",268,269,-4,102,98,9.9,9.9,"6,339","5,690","3,906","1,778",35.8,32.1,22.1,10.0,"3,892","6,556","5,549","2,971",20.5,34.6,29.3,15.7,"4,218",16.1,"1,390",24.2,946,"46,497",13297,13876,272,222,10483,10693,2560,2918,256,211,263,262,20,23,2206,2025
NC,Moore County,"88,250","100,880","1,139","1,169",78,"2,023","2,101",11.4,11.7,"9,271","13,809","15,945","14,322",17.4,25.9,29.9,26.8,"6,532","15,168","22,173","26,250",9.3,21.6,31.6,37.4,"11,254",11.3,"3,618",17.1,"2,483","63,942",48765,52115,1085,1075,41749,43981,6157,7134,878,886,978,1127,128,117,3735,3421
NC,Nash County,"95,829","94,298","1,061","1,041",31,159,190,11.3,11.1,"14,016","19,504","14,089","9,913",24.4,33.9,24.5,17.2,"9,320","21,839","20,182","13,460",14.4,33.7,31.1,20.8,"15,065",16.4,"4,463",22.1,"2,920","50,902",45143,49155,828,1001,25943,27148,18603,21555,768,872,599,609,114,65,3623,3317
