State,Area Name,2010 population estimate,2019 population estimate,Births in 2019,Deaths in 2019,International migration 2019,Domestic migration 2019,Net migration 2019,Rate of birth 2019,Rate of death 2019,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Estimate of people of all ages in poverty 2019,Estimated percent of people of all ages in poverty 2019,Estimate of people age 0-17 in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimate of related children age 5-17 in families in poverty 2019,Estimate of median household income 2019,Total male,Total female,Two or more races male,Two or more races female,White male,White female,Black male,Black female,American Indian or Alaska Native male,American Indian or Alaska Native female,Asian male,Asian female,Pacific Islander male,Pacific Islander female,Hispanic male,Hispanic female
TN,Lake County,"7,832","7,016",57,92,0,-360,-360,7.9,12.8,"2,414","1,941",840,297,44.0,35.3,15.3,5.4,"1,526","2,433","1,150",529,27.1,43.2,20.4,9.4,"1,705",35.5,380,40.0,257,"34,059",4408,2608,74,64,2950,2043,1467,585,48,28,14,15,3,2,121,61
TN,Lauderdale County,"27,822","25,633",283,265,-1,-381,-382,11.0,10.3,"6,607","6,687","2,865","1,348",37.7,38.2,16.4,7.7,"4,069","8,064","4,154","1,465",22.9,45.4,23.4,8.3,"4,503",19.3,"1,379",24.8,982,"43,545",13300,12333,220,209,8316,7946,4929,4350,165,164,105,83,15,10,396,299
TN,Lawrence County,"41,856","44,142",585,539,-5,331,326,13.3,12.3,"9,017","10,022","4,836","2,270",34.5,38.3,18.5,8.7,"4,850","12,938","7,231","4,175",16.6,44.3,24.8,14.3,"7,250",16.7,"2,431",22.6,"1,558","43,448",21767,22375,414,355,21065,21801,653,519,297,250,151,155,20,14,596,468
TN,Lewis County,"12,170","12,268",141,142,-1,196,195,11.6,11.7,"2,274","3,001","1,559",632,30.5,40.2,20.9,8.5,"1,326","3,600","2,663",882,15.7,42.5,31.4,10.4,"1,827",15.2,601,22.8,427,"45,874",6005,6263,95,89,5771,6061,191,160,91,63,41,60,7,11,151,152
TN,Lincoln County,"33,354","34,366",386,433,14,212,226,11.3,12.6,"6,494","7,832","4,494","2,541",30.4,36.7,21.0,11.9,"3,926","9,639","5,838","4,372",16.5,40.5,24.6,18.4,"4,343",12.8,"1,392",18.6,964,"54,558",16821,17545,371,360,15385,16016,1321,1432,338,310,114,128,42,36,746,556
TN,Loudon County,"48,561","54,068",483,612,30,"1,082","1,112",9.0,11.4,"6,809","9,269","7,081","4,740",24.4,33.2,25.4,17.0,"5,290","12,394","10,481","10,126",13.8,32.4,27.4,26.4,"5,182",9.7,"1,431",14.2,968,"65,226",26668,27400,380,324,25751,26513,646,541,334,285,259,336,68,65,2719,2268
TN,McMinn County,"52,287","53,794",591,656,73,453,526,11.0,12.2,"10,170","11,969","7,393","3,578",30.7,36.1,22.3,10.8,"5,821","15,142","10,470","6,081",15.5,40.4,27.9,16.2,"7,620",14.5,"2,240",20.1,"1,581","49,836",26194,27600,577,611,24782,26134,1349,1357,384,417,246,292,22,24,1114,1292
TN,McNairy County,"26,082","25,694",263,366,2,-33,-31,10.2,14.2,"5,282","6,753","3,279","1,473",31.5,40.2,19.5,8.8,"3,161","8,262","4,465","2,297",17.4,45.4,24.6,12.6,"4,287",17.0,"1,309",24.3,845,"45,469",12587,13107,218,212,11689,12208,906,892,151,140,57,75,6,10,306,277
TN,Macon County,"22,226","24,602",341,281,4,247,251,13.9,11.5,"5,309","5,194","2,081",747,39.8,39.0,15.6,5.6,"3,160","7,321","3,893","1,658",19.7,45.7,24.3,10.3,"3,733",15.5,"1,206",20.6,818,"44,334",12028,12574,185,163,11700,12199,247,204,205,155,48,176,15,10,653,603
TN,Madison County,"98,303","97,984","1,193",985,74,103,177,12.2,10.1,"12,327","17,883","15,339","12,489",21.2,30.8,26.4,21.5,"7,248","22,960","18,181","16,678",11.1,35.3,27.9,25.6,"16,421",17.6,"6,174",28.9,"4,319","50,401",46414,51570,825,862,28518,30781,17563,20486,439,375,696,784,59,58,2075,1915
TN,Marion County,"28,222","28,907",325,358,1,340,341,11.3,12.5,"6,668","6,459","3,903","1,785",35.4,34.3,20.7,9.5,"3,759","7,867","6,120","2,602",18.5,38.7,30.1,12.8,"4,374",15.3,"1,296",21.8,913,"47,675",14158,14749,215,251,13404,13947,671,737,188,174,109,129,4,20,326,258
TN,Marshall County,"30,611","34,375",411,344,15,485,500,12.1,10.1,"4,655","7,260","3,825","1,875",26.4,41.2,21.7,10.6,"3,314","9,408","6,671","3,334",14.6,41.4,29.4,14.7,"4,431",13.1,"1,562",20.2,"1,089","58,151",16833,17542,316,346,15453,16215,1312,1325,194,182,176,146,26,27,1019,953
TN,Maury County,"80,932","96,387","1,244",937,19,"1,778","1,797",13.0,9.8,"10,000","16,463","12,650","6,175",22.1,36.4,27.9,13.6,"6,262","22,713","19,964","14,656",9.8,35.7,31.4,23.0,"8,059",8.5,"2,889",13.2,"1,786","66,434",46563,49824,1070,1200,40475,42763,6042,6992,545,516,551,730,59,71,3099,2904
TN,Meigs County,"11,766","12,422",133,154,-2,148,146,10.8,12.5,"2,700","2,721","1,469",515,36.5,36.7,19.8,7.0,"1,424","3,999","2,523",862,16.2,45.4,28.6,9.8,"1,972",16.1,598,24.7,408,"48,334",6158,6264,103,84,5963,6078,138,131,128,110,24,31,8,0,139,141
TN,Monroe County,"44,498","46,545",484,575,-30,397,367,10.4,12.4,"8,634","9,655","5,053","2,613",33.3,37.2,19.5,10.1,"5,720","13,530","8,945","4,373",17.6,41.5,27.5,13.4,"7,571",16.5,"2,597",27.3,"1,767","50,506",23186,23359,460,384,22359,22577,718,642,415,355,137,152,25,30,1197,967
TN,Montgomery County,"172,362","208,993","3,490","1,415",15,"1,576","1,591",16.8,6.8,"12,509","24,315","27,617","15,382",15.7,30.5,34.6,19.3,"8,766","35,273","44,582","35,272",7.1,28.5,36.0,28.5,"24,633",12.0,"8,983",16.4,"5,836","57,606",104004,104989,4953,5087,78278,77839,24947,25581,1931,1937,3553,4530,764,791,11102,10310
TN,Moore County,"6,342","6,488",59,50,16,6,22,9.1,7.7,922,"1,574",978,465,23.4,40.0,24.8,11.8,649,"1,832","1,068","1,041",14.1,39.9,23.3,22.7,638,10.0,178,14.5,127,"61,804",3192,3296,52,31,3067,3110,116,89,35,24,24,103,2,1,54,62
TN,Morgan County,"21,986","21,403",199,229,1,-102,-101,9.3,10.7,"4,845","5,470","2,252",804,36.2,40.9,16.8,6.0,"3,074","7,546","3,488","1,462",19.7,48.5,22.4,9.4,"4,185",22.0,"1,076",27.4,750,"43,952",11694,9709,162,151,10853,9550,790,104,162,144,41,55,13,12,169,147
